timestamp_ms,x,y,z
293195,4.76,0.55,0.31
293208,7.69,0.37,-1.34
293220,51.70,2.44,1.65
293233,67.75,2.26,3.23
293246,61.34,4.39,1.77
293259,-34.36,-1.95,-2.01
293273,-39.92,-2.20,-1.10
293287,33.87,2.69,1.83
293300,20.39,2.14,1.28
293312,-15.63,-0.43,-0.12
293327,2.99,0.67,0.61
293339,3.91,0.85,0.85
293353,-2.99,0.12,0.18
293366,-2.56,0.37,0.18
293379,-3.17,0.18,-0.18
293392,-0.79,0.43,0.12
293406,2.08,0.61,0.12
293419,-1.65,0.37,-0.18
293432,0.06,0.37,-0.18
293445,0.79,0.43,-0.18
293458,-1.16,0.37,-0.24
293471,0.85,0.43,-0.18
293485,1.65,0.55,0.00
293498,0.55,0.43,-0.06
293511,0.12,0.37,-0.24
293524,-0.12,0.31,-0.24
293538,-2.50,-0.06,-0.55
293551,-1.71,0.12,-0.31
293564,2.20,0.73,0.37
293579,2.14,0.85,0.37
293593,1.10,0.67,0.24
293606,-0.06,0.49,0.12
293619,3.97,0.73,0.49
293632,4.82,0.85,0.55
293645,0.85,0.55,0.31
293658,-1.22,0.12,-0.24
293672,2.26,0.37,0.12
293685,3.05,0.79,0.92
293698,4.70,0.98,1.40
293711,13.49,1.40,2.01
293724,14.83,1.10,2.08
293737,12.63,0.92,1.71
293749,3.17,0.55,0.55
293762,2.01,0.37,0.24
293775,4.21,0.37,0.43
293788,8.54,0.31,0.61
293801,5.98,0.31,0.49
293813,-1.28,0.31,0.00
293826,-1.10,0.43,0.06
293841,0.55,0.49,0.06
293855,1.28,0.18,0.12
293868,3.91,0.37,0.37
293880,0.43,0.49,0.18
293892,-2.75,0.31,0.06
293905,-1.46,0.43,0.12
293918,2.99,0.61,0.49
293931,2.32,0.43,0.55
293945,1.46,0.55,0.24
293957,-0.61,0.37,0.12
293970,-0.73,0.49,0.24
293984,1.95,0.61,0.37
293997,2.26,0.43,0.49
294010,2.32,0.73,0.49
294023,0.31,0.61,0.37
294036,1.46,0.67,0.37
294049,1.71,0.67,0.24
294062,0.67,0.49,0.18
294075,0.49,0.43,-0.06
294088,0.55,0.37,-0.06
294101,-0.43,0.31,-0.18
294114,-0.06,0.31,-0.18
294128,0.55,0.43,-0.06
294142,0.43,0.43,0.00
294156,0.43,0.49,0.06
294169,0.92,0.55,0.24
294181,1.16,0.61,0.24
294194,1.28,0.61,0.31
294208,1.34,0.61,0.24
294221,1.16,0.61,0.24
294234,0.92,0.55,0.12
294247,1.22,0.55,0.12
294260,0.79,0.55,0.06
294274,0.61,0.49,0.00
294288,0.79,0.43,0.00
294300,0.61,0.43,0.00
294314,0.43,0.43,-0.06
294327,0.61,0.49,-0.06
294340,0.79,0.43,-0.06
294354,1.22,0.43,-0.06
294367,1.28,0.43,0.00
294380,0.49,0.37,0.00
294393,0.67,0.43,0.00
294406,0.85,0.43,0.06
294419,0.31,0.43,0.06
294432,0.37,0.49,0.06
294445,0.67,0.49,0.06
294458,0.43,0.49,0.06
294471,0.49,0.49,0.06
294485,0.67,0.55,0.12
294498,1.04,0.55,0.18
294511,0.98,0.55,0.18
294524,0.85,0.55,0.18
294536,0.98,0.55,0.12
294549,0.79,0.55,0.12
294563,0.43,0.49,0.06
294575,0.61,0.43,0.00
294589,0.55,0.43,0.00
294602,0.49,0.43,0.00
294615,0.61,0.49,0.00
294628,0.73,0.49,0.00
294641,0.49,0.49,0.06
294654,0.55,0.49,0.06
294667,0.73,0.55,0.12
294680,0.61,0.49,0.06
294693,0.55,0.49,0.06
294706,0.55,0.49,0.06
294719,0.43,0.49,0.06
294733,0.49,0.43,0.00
294746,0.55,0.49,0.00
294759,0.49,0.49,0.00
294772,0.61,0.49,0.00
294785,0.61,0.49,0.00
294798,0.67,0.55,0.06
294811,0.85,0.49,0.06
294824,0.67,0.49,0.06
294837,0.79,0.49,0.12
294850,0.73,0.55,0.06
294863,0.92,0.55,0.12
294876,1.10,0.61,0.12
294889,0.98,0.55,0.12
294902,0.67,0.55,0.18
294915,0.67,0.55,0.18
294927,1.10,0.55,0.12
294940,0.79,0.49,0.12
294953,0.61,0.49,0.06
294967,0.98,0.49,0.12
294980,0.92,0.55,0.12
294993,1.10,0.49,0.18
295006,1.10,0.49,0.12
295019,0.73,0.49,0.12
295033,0.61,0.49,0.00
295045,0.73,0.49,0.00
295058,0.31,0.43,-0.06
295072,0.55,0.43,-0.06
295085,0.67,0.43,-0.06
295098,0.37,0.37,-0.12
295111,0.18,0.43,-0.12
295124,0.98,0.43,0.00
295136,0.67,0.43,0.00
295149,0.37,0.43,0.00
295162,0.85,0.49,0.00
295175,0.85,0.49,0.06
295189,0.43,0.49,0.06
