timestamp_ms,x,y,z,timestamp
293195,4.76,0.55,0.31,1970-01-01 00:04:53.195
293208,7.69,0.37,-1.34,1970-01-01 00:04:53.208
293220,51.7,2.44,1.65,1970-01-01 00:04:53.220
293233,67.75,2.26,3.23,1970-01-01 00:04:53.233
293246,61.34,4.39,1.77,1970-01-01 00:04:53.246
293259,-34.36,-1.95,-2.01,1970-01-01 00:04:53.259
293273,-39.92,-2.2,-1.1,1970-01-01 00:04:53.273
293287,33.87,2.69,1.83,1970-01-01 00:04:53.287
293300,20.39,2.14,1.28,1970-01-01 00:04:53.300
293312,-15.63,-0.43,-0.12,1970-01-01 00:04:53.312
293327,2.99,0.67,0.61,1970-01-01 00:04:53.327
293339,3.91,0.85,0.85,1970-01-01 00:04:53.339
293353,-2.99,0.12,0.18,1970-01-01 00:04:53.353
293366,-2.56,0.37,0.18,1970-01-01 00:04:53.366
293379,-3.17,0.18,-0.18,1970-01-01 00:04:53.379
293392,-0.79,0.43,0.12,1970-01-01 00:04:53.392
293406,2.08,0.61,0.12,1970-01-01 00:04:53.406
293419,-1.65,0.37,-0.18,1970-01-01 00:04:53.419
293432,0.06,0.37,-0.18,1970-01-01 00:04:53.432
293445,0.79,0.43,-0.18,1970-01-01 00:04:53.445
293458,-1.16,0.37,-0.24,1970-01-01 00:04:53.458
293471,0.85,0.43,-0.18,1970-01-01 00:04:53.471
293485,1.65,0.55,0.0,1970-01-01 00:04:53.485
293498,0.55,0.43,-0.06,1970-01-01 00:04:53.498
293511,0.12,0.37,-0.24,1970-01-01 00:04:53.511
293524,-0.12,0.31,-0.24,1970-01-01 00:04:53.524
293538,-2.5,-0.06,-0.55,1970-01-01 00:04:53.538
293551,-1.71,0.12,-0.31,1970-01-01 00:04:53.551
293564,2.2,0.73,0.37,1970-01-01 00:04:53.564
293579,2.14,0.85,0.37,1970-01-01 00:04:53.579
293593,1.1,0.67,0.24,1970-01-01 00:04:53.593
293606,-0.06,0.49,0.12,1970-01-01 00:04:53.606
293619,3.97,0.73,0.49,1970-01-01 00:04:53.619
293632,4.82,0.85,0.55,1970-01-01 00:04:53.632
293645,0.85,0.55,0.31,1970-01-01 00:04:53.645
293658,-1.22,0.12,-0.24,1970-01-01 00:04:53.658
293672,2.26,0.37,0.12,1970-01-01 00:04:53.672
293685,3.05,0.79,0.92,1970-01-01 00:04:53.685
293698,4.7,0.98,1.4,1970-01-01 00:04:53.698
293711,13.49,1.4,2.01,1970-01-01 00:04:53.711
293724,14.83,1.1,2.08,1970-01-01 00:04:53.724
293737,12.63,0.92,1.71,1970-01-01 00:04:53.737
293749,3.17,0.55,0.55,1970-01-01 00:04:53.749
293762,2.01,0.37,0.24,1970-01-01 00:04:53.762
293775,4.21,0.37,0.43,1970-01-01 00:04:53.775
293788,8.54,0.31,0.61,1970-01-01 00:04:53.788
293801,5.98,0.31,0.49,1970-01-01 00:04:53.801
293813,-1.28,0.31,0.0,1970-01-01 00:04:53.813
293826,-1.1,0.43,0.06,1970-01-01 00:04:53.826
293841,0.55,0.49,0.06,1970-01-01 00:04:53.841
293855,1.28,0.18,0.12,1970-01-01 00:04:53.855
293868,3.91,0.37,0.37,1970-01-01 00:04:53.868
293880,0.43,0.49,0.18,1970-01-01 00:04:53.880
293892,-2.75,0.31,0.06,1970-01-01 00:04:53.892
293905,-1.46,0.43,0.12,1970-01-01 00:04:53.905
293918,2.99,0.61,0.49,1970-01-01 00:04:53.918
293931,2.32,0.43,0.55,1970-01-01 00:04:53.931
293945,1.46,0.55,0.24,1970-01-01 00:04:53.945
293957,-0.61,0.37,0.12,1970-01-01 00:04:53.957
293970,-0.73,0.49,0.24,1970-01-01 00:04:53.970
293984,1.95,0.61,0.37,1970-01-01 00:04:53.984
293997,2.26,0.43,0.49,1970-01-01 00:04:53.997
294010,2.32,0.73,0.49,1970-01-01 00:04:54.010
294023,0.31,0.61,0.37,1970-01-01 00:04:54.023
294036,1.46,0.67,0.37,1970-01-01 00:04:54.036
294049,1.71,0.67,0.24,1970-01-01 00:04:54.049
294062,0.67,0.49,0.18,1970-01-01 00:04:54.062
294075,0.49,0.43,-0.06,1970-01-01 00:04:54.075
294088,0.55,0.37,-0.06,1970-01-01 00:04:54.088
294101,-0.43,0.31,-0.18,1970-01-01 00:04:54.101
294114,-0.06,0.31,-0.18,1970-01-01 00:04:54.114
294128,0.55,0.43,-0.06,1970-01-01 00:04:54.128
294142,0.43,0.43,0.0,1970-01-01 00:04:54.142
294156,0.43,0.49,0.06,1970-01-01 00:04:54.156
294169,0.92,0.55,0.24,1970-01-01 00:04:54.169
294181,1.16,0.61,0.24,1970-01-01 00:04:54.181
294194,1.28,0.61,0.31,1970-01-01 00:04:54.194
294208,1.34,0.61,0.24,1970-01-01 00:04:54.208
294221,1.16,0.61,0.24,1970-01-01 00:04:54.221
294234,0.92,0.55,0.12,1970-01-01 00:04:54.234
294247,1.22,0.55,0.12,1970-01-01 00:04:54.247
294260,0.79,0.55,0.06,1970-01-01 00:04:54.260
294274,0.61,0.49,0.0,1970-01-01 00:04:54.274
294288,0.79,0.43,0.0,1970-01-01 00:04:54.288
294300,0.61,0.43,0.0,1970-01-01 00:04:54.300
294314,0.43,0.43,-0.06,1970-01-01 00:04:54.314
294327,0.61,0.49,-0.06,1970-01-01 00:04:54.327
294340,0.79,0.43,-0.06,1970-01-01 00:04:54.340
294354,1.22,0.43,-0.06,1970-01-01 00:04:54.354
294367,1.28,0.43,0.0,1970-01-01 00:04:54.367
294380,0.49,0.37,0.0,1970-01-01 00:04:54.380
294393,0.67,0.43,0.0,1970-01-01 00:04:54.393
294406,0.85,0.43,0.06,1970-01-01 00:04:54.406
294419,0.31,0.43,0.06,1970-01-01 00:04:54.419
294432,0.37,0.49,0.06,1970-01-01 00:04:54.432
294445,0.67,0.49,0.06,1970-01-01 00:04:54.445
294458,0.43,0.49,0.06,1970-01-01 00:04:54.458
294471,0.49,0.49,0.06,1970-01-01 00:04:54.471
294485,0.67,0.55,0.12,1970-01-01 00:04:54.485
294498,1.04,0.55,0.18,1970-01-01 00:04:54.498
294511,0.98,0.55,0.18,1970-01-01 00:04:54.511
294524,0.85,0.55,0.18,1970-01-01 00:04:54.524
294536,0.98,0.55,0.12,1970-01-01 00:04:54.536
294549,0.79,0.55,0.12,1970-01-01 00:04:54.549
294563,0.43,0.49,0.06,1970-01-01 00:04:54.563
294575,0.61,0.43,0.0,1970-01-01 00:04:54.575
294589,0.55,0.43,0.0,1970-01-01 00:04:54.589
294602,0.49,0.43,0.0,1970-01-01 00:04:54.602
294615,0.61,0.49,0.0,1970-01-01 00:04:54.615
294628,0.73,0.49,0.0,1970-01-01 00:04:54.628
294641,0.49,0.49,0.06,1970-01-01 00:04:54.641
294654,0.55,0.49,0.06,1970-01-01 00:04:54.654
294667,0.73,0.55,0.12,1970-01-01 00:04:54.667
294680,0.61,0.49,0.06,1970-01-01 00:04:54.680
294693,0.55,0.49,0.06,1970-01-01 00:04:54.693
294706,0.55,0.49,0.06,1970-01-01 00:04:54.706
294719,0.43,0.49,0.06,1970-01-01 00:04:54.719
294733,0.49,0.43,0.0,1970-01-01 00:04:54.733
294746,0.55,0.49,0.0,1970-01-01 00:04:54.746
294759,0.49,0.49,0.0,1970-01-01 00:04:54.759
294772,0.61,0.49,0.0,1970-01-01 00:04:54.772
294785,0.61,0.49,0.0,1970-01-01 00:04:54.785
294798,0.67,0.55,0.06,1970-01-01 00:04:54.798
294811,0.85,0.49,0.06,1970-01-01 00:04:54.811
294824,0.67,0.49,0.06,1970-01-01 00:04:54.824
294837,0.79,0.49,0.12,1970-01-01 00:04:54.837
294850,0.73,0.55,0.06,1970-01-01 00:04:54.850
294863,0.92,0.55,0.12,1970-01-01 00:04:54.863
294876,1.1,0.61,0.12,1970-01-01 00:04:54.876
294889,0.98,0.55,0.12,1970-01-01 00:04:54.889
294902,0.67,0.55,0.18,1970-01-01 00:04:54.902
294915,0.67,0.55,0.18,1970-01-01 00:04:54.915
294927,1.1,0.55,0.12,1970-01-01 00:04:54.927
294940,0.79,0.49,0.12,1970-01-01 00:04:54.940
294953,0.61,0.49,0.06,1970-01-01 00:04:54.953
294967,0.98,0.49,0.12,1970-01-01 00:04:54.967
294980,0.92,0.55,0.12,1970-01-01 00:04:54.980
294993,1.1,0.49,0.18,1970-01-01 00:04:54.993
295006,1.1,0.49,0.12,1970-01-01 00:04:55.006
295019,0.73,0.49,0.12,1970-01-01 00:04:55.019
295033,0.61,0.49,0.0,1970-01-01 00:04:55.033
295045,0.73,0.49,0.0,1970-01-01 00:04:55.045
295058,0.31,0.43,-0.06,1970-01-01 00:04:55.058
295072,0.55,0.43,-0.06,1970-01-01 00:04:55.072
295085,0.67,0.43,-0.06,1970-01-01 00:04:55.085
